Periodo;PaisResidencia;MotivoViaje;Viajeros
1/01/2023;Alemania;Negocio motivos profesionales;31025
1/01/2023;Belgica;Negocio motivos profesionales;8788
1/01/2023;Estados Unidos de America;Negocio motivos profesionales;9038
1/01/2023;Francia;Negocio motivos profesionales;31322
1/01/2023;Irlanda;Negocio motivos profesionales;7473
1/01/2023;Italia;Negocio motivos profesionales;18157
1/01/2023;Paises Bajos;Negocio motivos profesionales;13223
1/01/2023;Paises Nordicos;Negocio motivos profesionales;22193
1/01/2023;Portugal;Negocio motivos profesionales;9076
1/01/2023;Reino Unido;Negocio motivos profesionales;47983
1/01/2023;Resto America;Negocio motivos profesionales;18537
1/01/2023;Resto de Europa;Negocio motivos profesionales;30928
1/01/2023;Resto del Mundo;Negocio motivos profesionales;14119
1/01/2023;Rusia;Negocio motivos profesionales;0
1/01/2023;Suiza;Negocio motivos profesionales;5479
1/01/2023;Alemania;Ocio recreo y vacaciones;396004
1/01/2023;Belgica;Ocio recreo y vacaciones;112178
1/01/2023;Estados Unidos de America;Ocio recreo y vacaciones;115365
1/01/2023;Francia;Ocio recreo y vacaciones;399797
1/01/2023;Irlanda;Ocio recreo y vacaciones;95387
1/01/2023;Italia;Ocio recreo y vacaciones;231760
1/01/2023;Paises Bajos;Ocio recreo y vacaciones;168787
1/01/2023;Paises Nordicos;Ocio recreo y vacaciones;283277
1/01/2023;Portugal;Ocio recreo y vacaciones;115854
1/01/2023;Reino Unido;Ocio recreo y vacaciones;612463
1/01/2023;Resto America;Ocio recreo y vacaciones;236613
1/01/2023;Resto de Europa;Ocio recreo y vacaciones;394773
1/01/2023;Resto del Mundo;Ocio recreo y vacaciones;180214
1/01/2023;Rusia;Ocio recreo y vacaciones;0
1/01/2023;Suiza;Ocio recreo y vacaciones;69932
1/01/2023;Alemania;Otros motivos;52831
1/01/2023;Belgica;Otros motivos;14966
1/01/2023;Estados Unidos de America;Otros motivos;15391
1/01/2023;Francia;Otros motivos;53337
1/01/2023;Irlanda;Otros motivos;12726
1/01/2023;Italia;Otros motivos;30919
1/01/2023;Paises Bajos;Otros motivos;22518
1/01/2023;Paises Nordicos;Otros motivos;37792
1/01/2023;Portugal;Otros motivos;15456
1/01/2023;Reino Unido;Otros motivos;81709
1/01/2023;Resto America;Otros motivos;31567
1/01/2023;Resto de Europa;Otros motivos;52667
1/01/2023;Resto del Mundo;Otros motivos;24042
1/01/2023;Rusia;Otros motivos;0
1/01/2023;Suiza;Otros motivos;9330
1/02/2023;Alemania;Negocio motivos profesionales;47848
1/02/2023;Belgica;Negocio motivos profesionales;10769
1/02/2023;Estados Unidos de America;Negocio motivos profesionales;11916
1/02/2023;Francia;Negocio motivos profesionales;56477
1/02/2023;Irlanda;Negocio motivos profesionales;9950
1/02/2023;Italia;Negocio motivos profesionales;21458
1/02/2023;Paises Bajos;Negocio motivos profesionales;16480
1/02/2023;Paises Nordicos;Negocio motivos profesionales;29900
1/02/2023;Portugal;Negocio motivos profesionales;14943
1/02/2023;Reino Unido;Negocio motivos profesionales;70238
1/02/2023;Resto America;Negocio motivos profesionales;21531
1/02/2023;Resto de Europa;Negocio motivos profesionales;45045
1/02/2023;Resto del Mundo;Negocio motivos profesionales;22845
1/02/2023;Rusia;Negocio motivos profesionales;0
1/02/2023;Suiza;Negocio motivos profesionales;9114
1/02/2023;Alemania;Ocio recreo y vacaciones;432512
1/02/2023;Belgica;Ocio recreo y vacaciones;97347
1/02/2023;Estados Unidos de America;Ocio recreo y vacaciones;107713
1/02/2023;Francia;Ocio recreo y vacaciones;510507
1/02/2023;Irlanda;Ocio recreo y vacaciones;89944
1/02/2023;Italia;Ocio recreo y vacaciones;193965
1/02/2023;Paises Bajos;Ocio recreo y vacaciones;148967
1/02/2023;Paises Nordicos;Ocio recreo y vacaciones;270272
1/02/2023;Portugal;Ocio recreo y vacaciones;135073
1/02/2023;Reino Unido;Ocio recreo y vacaciones;634899
1/02/2023;Resto America;Ocio recreo y vacaciones;194625
1/02/2023;Resto de Europa;Ocio recreo y vacaciones;407168
1/02/2023;Resto del Mundo;Ocio recreo y vacaciones;206501
1/02/2023;Rusia;Ocio recreo y vacaciones;0
1/02/2023;Suiza;Ocio recreo y vacaciones;82379
1/02/2023;Alemania;Otros motivos;51760
1/02/2023;Belgica;Otros motivos;11650
1/02/2023;Estados Unidos de America;Otros motivos;12890
1/02/2023;Francia;Otros motivos;61094
1/02/2023;Irlanda;Otros motivos;10764
1/02/2023;Italia;Otros motivos;23212
1/02/2023;Paises Bajos;Otros motivos;17827
1/02/2023;Paises Nordicos;Otros motivos;32344
1/02/2023;Portugal;Otros motivos;16165
1/02/2023;Reino Unido;Otros motivos;75980
1/02/2023;Resto America;Otros motivos;23291
1/02/2023;Resto de Europa;Otros motivos;48727
1/02/2023;Resto del Mundo;Otros motivos;24713
1/02/2023;Rusia;Otros motivos;0
1/02/2023;Suiza;Otros motivos;9859
1/03/2023;Alemania;Negocio motivos profesionales;63429
1/03/2023;Belgica;Negocio motivos profesionales;13866
1/03/2023;Estados Unidos de America;Negocio motivos profesionales;23223
1/03/2023;Francia;Negocio motivos profesionales;53967
1/03/2023;Irlanda;Negocio motivos profesionales;12501
1/03/2023;Italia;Negocio motivos profesionales;28367
1/03/2023;Paises Bajos;Negocio motivos profesionales;21512
1/03/2023;Paises Nordicos;Negocio motivos profesionales;34588
1/03/2023;Portugal;Negocio motivos profesionales;15470
1/03/2023;Reino Unido;Negocio motivos profesionales;95196
1/03/2023;Resto America;Negocio motivos profesionales;25708
1/03/2023;Resto de Europa;Negocio motivos profesionales;49099
1/03/2023;Resto del Mundo;Negocio motivos profesionales;25628
1/03/2023;Rusia;Negocio motivos profesionales;0
1/03/2023;Suiza;Negocio motivos profesionales;8836
1/03/2023;Alemania;Ocio recreo y vacaciones;577141
1/03/2023;Belgica;Ocio recreo y vacaciones;126166
1/03/2023;Estados Unidos de America;Ocio recreo y vacaciones;211304
1/03/2023;Francia;Ocio recreo y vacaciones;491041
1/03/2023;Irlanda;Ocio recreo y vacaciones;113749
1/03/2023;Italia;Ocio recreo y vacaciones;258113
1/03/2023;Paises Bajos;Ocio recreo y vacaciones;195739
1/03/2023;Paises Nordicos;Ocio recreo y vacaciones;314712
1/03/2023;Portugal;Ocio recreo y vacaciones;140761
1/03/2023;Reino Unido;Ocio recreo y vacaciones;866183
1/03/2023;Resto America;Ocio recreo y vacaciones;233918
1/03/2023;Resto de Europa;Ocio recreo y vacaciones;446754
1/03/2023;Resto del Mundo;Ocio recreo y vacaciones;233191
1/03/2023;Rusia;Ocio recreo y vacaciones;0
1/03/2023;Suiza;Ocio recreo y vacaciones;80402
1/03/2023;Alemania;Otros motivos;65499
1/03/2023;Belgica;Otros motivos;14318
1/03/2023;Estados Unidos de America;Otros motivos;23981
1/03/2023;Francia;Otros motivos;55728
1/03/2023;Irlanda;Otros motivos;12909
1/03/2023;Italia;Otros motivos;29293
1/03/2023;Paises Bajos;Otros motivos;22214
1/03/2023;Paises Nordicos;Otros motivos;35716
1/03/2023;Portugal;Otros motivos;15975
1/03/2023;Reino Unido;Otros motivos;98302
1/03/2023;Resto America;Otros motivos;26547
1/03/2023;Resto de Europa;Otros motivos;50702
1/03/2023;Resto del Mundo;Otros motivos;26465
1/03/2023;Rusia;Otros motivos;0
1/03/2023;Suiza;Otros motivos;9125
1/04/2023;Alemania;Negocio motivos profesionales;58068
1/04/2023;Belgica;Negocio motivos profesionales;14253
1/04/2023;Estados Unidos de America;Negocio motivos profesionales;18440
1/04/2023;Francia;Negocio motivos profesionales;60184
1/04/2023;Irlanda;Negocio motivos profesionales;12518
1/04/2023;Italia;Negocio motivos profesionales;22281
1/04/2023;Paises Bajos;Negocio motivos profesionales;21580
1/04/2023;Paises Nordicos;Negocio motivos profesionales;24681
1/04/2023;Portugal;Negocio motivos profesionales;14590
1/04/2023;Reino Unido;Negocio motivos profesionales;77698
1/04/2023;Resto America;Negocio motivos profesionales;22345
1/04/2023;Resto de Europa;Negocio motivos profesionales;39217
1/04/2023;Resto del Mundo;Negocio motivos profesionales;17676
1/04/2023;Rusia;Negocio motivos profesionales;0
1/04/2023;Suiza;Negocio motivos profesionales;12373
1/04/2023;Alemania;Ocio recreo y vacaciones;864385
1/04/2023;Belgica;Ocio recreo y vacaciones;212164
1/04/2023;Estados Unidos de America;Ocio recreo y vacaciones;274491
1/04/2023;Francia;Ocio recreo y vacaciones;895874
1/04/2023;Irlanda;Ocio recreo y vacaciones;186345
1/04/2023;Italia;Ocio recreo y vacaciones;331671
1/04/2023;Paises Bajos;Ocio recreo y vacaciones;321238
1/04/2023;Paises Nordicos;Ocio recreo y vacaciones;367398
1/04/2023;Portugal;Ocio recreo y vacaciones;217187
1/04/2023;Reino Unido;Ocio recreo y vacaciones;1156587
1/04/2023;Resto America;Ocio recreo y vacaciones;332621
1/04/2023;Resto de Europa;Ocio recreo y vacaciones;583777
1/04/2023;Resto del Mundo;Ocio recreo y vacaciones;263115
1/04/2023;Rusia;Ocio recreo y vacaciones;0
1/04/2023;Suiza;Ocio recreo y vacaciones;184183
1/04/2023;Alemania;Otros motivos;86725
1/04/2023;Belgica;Otros motivos;21287
1/04/2023;Estados Unidos de America;Otros motivos;27540
1/04/2023;Francia;Otros motivos;89884
1/04/2023;Irlanda;Otros motivos;18696
1/04/2023;Italia;Otros motivos;33277
1/04/2023;Paises Bajos;Otros motivos;32230
1/04/2023;Paises Nordicos;Otros motivos;36861
1/04/2023;Portugal;Otros motivos;21791
1/04/2023;Reino Unido;Otros motivos;116041
1/04/2023;Resto America;Otros motivos;33372
1/04/2023;Resto de Europa;Otros motivos;58571
1/04/2023;Resto del Mundo;Otros motivos;26399
1/04/2023;Rusia;Otros motivos;0
1/04/2023;Suiza;Otros motivos;18479
1/05/2023;Alemania;Negocio motivos profesionales;62636
1/05/2023;Belgica;Negocio motivos profesionales;13307
1/05/2023;Estados Unidos de America;Negocio motivos profesionales;24270
1/05/2023;Francia;Negocio motivos profesionales;64010
1/05/2023;Irlanda;Negocio motivos profesionales;13396
1/05/2023;Italia;Negocio motivos profesionales;23500
1/05/2023;Paises Bajos;Negocio motivos profesionales;24314
1/05/2023;Paises Nordicos;Negocio motivos profesionales;18816
1/05/2023;Portugal;Negocio motivos profesionales;9878
1/05/2023;Reino Unido;Negocio motivos profesionales;100766
1/05/2023;Resto America;Negocio motivos profesionales;28037
1/05/2023;Resto de Europa;Negocio motivos profesionales;40633
1/05/2023;Resto del Mundo;Negocio motivos profesionales;28205
1/05/2023;Rusia;Negocio motivos profesionales;0
1/05/2023;Suiza;Negocio motivos profesionales;10371
1/05/2023;Alemania;Ocio recreo y vacaciones;985828
1/05/2023;Belgica;Ocio recreo y vacaciones;209442
1/05/2023;Estados Unidos de America;Ocio recreo y vacaciones;381986
1/05/2023;Francia;Ocio recreo y vacaciones;1007461
1/05/2023;Irlanda;Ocio recreo y vacaciones;210842
1/05/2023;Italia;Ocio recreo y vacaciones;369859
1/05/2023;Paises Bajos;Ocio recreo y vacaciones;382676
1/05/2023;Paises Nordicos;Ocio recreo y vacaciones;296138
1/05/2023;Portugal;Ocio recreo y vacaciones;155463
1/05/2023;Reino Unido;Ocio recreo y vacaciones;1585963
1/05/2023;Resto America;Ocio recreo y vacaciones;441279
1/05/2023;Resto de Europa;Ocio recreo y vacaciones;639528
1/05/2023;Resto del Mundo;Ocio recreo y vacaciones;443926
1/05/2023;Rusia;Ocio recreo y vacaciones;0
1/05/2023;Suiza;Ocio recreo y vacaciones;163228
1/05/2023;Alemania;Otros motivos;76526
1/05/2023;Belgica;Otros motivos;16258
1/05/2023;Estados Unidos de America;Otros motivos;29652
1/05/2023;Francia;Otros motivos;78205
1/05/2023;Irlanda;Otros motivos;16367
1/05/2023;Italia;Otros motivos;28711
1/05/2023;Paises Bajos;Otros motivos;29706
1/05/2023;Paises Nordicos;Otros motivos;22988
1/05/2023;Portugal;Otros motivos;12068
1/05/2023;Reino Unido;Otros motivos;123112
1/05/2023;Resto America;Otros motivos;34255
1/05/2023;Resto de Europa;Otros motivos;49644
1/05/2023;Resto del Mundo;Otros motivos;34460
1/05/2023;Rusia;Otros motivos;0
1/05/2023;Suiza;Otros motivos;12671
1/06/2023;Alemania;Negocio motivos profesionales;70451
1/06/2023;Belgica;Negocio motivos profesionales;12336
1/06/2023;Estados Unidos de America;Negocio motivos profesionales;31760
1/06/2023;Francia;Negocio motivos profesionales;55405
1/06/2023;Irlanda;Negocio motivos profesionales;17317
1/06/2023;Italia;Negocio motivos profesionales;26115
1/06/2023;Paises Bajos;Negocio motivos profesionales;23671
1/06/2023;Paises Nordicos;Negocio motivos profesionales;24043
1/06/2023;Portugal;Negocio motivos profesionales;14884
1/06/2023;Reino Unido;Negocio motivos profesionales;119942
1/06/2023;Resto America;Negocio motivos profesionales;27343
1/06/2023;Resto de Europa;Negocio motivos profesionales;43577
1/06/2023;Resto del Mundo;Negocio motivos profesionales;28358
1/06/2023;Rusia;Negocio motivos profesionales;0
1/06/2023;Suiza;Negocio motivos profesionales;11114
1/06/2023;Alemania;Ocio recreo y vacaciones;1012046
1/06/2023;Belgica;Ocio recreo y vacaciones;177212
1/06/2023;Estados Unidos de America;Ocio recreo y vacaciones;456245
1/06/2023;Francia;Ocio recreo y vacaciones;795900
1/06/2023;Irlanda;Ocio recreo y vacaciones;248767
1/06/2023;Italia;Ocio recreo y vacaciones;375148
1/06/2023;Paises Bajos;Ocio recreo y vacaciones;340033
1/06/2023;Paises Nordicos;Ocio recreo y vacaciones;345384
1/06/2023;Portugal;Ocio recreo y vacaciones;213805
1/06/2023;Reino Unido;Ocio recreo y vacaciones;1722995
1/06/2023;Resto America;Ocio recreo y vacaciones;392790
1/06/2023;Resto de Europa;Ocio recreo y vacaciones;625997
1/06/2023;Resto del Mundo;Ocio recreo y vacaciones;407374
1/06/2023;Rusia;Ocio recreo y vacaciones;0
1/06/2023;Suiza;Ocio recreo y vacaciones;159661
1/06/2023;Alemania;Otros motivos;73438
1/06/2023;Belgica;Otros motivos;12859
1/06/2023;Estados Unidos de America;Otros motivos;33107
1/06/2023;Francia;Otros motivos;57754
1/06/2023;Irlanda;Otros motivos;18052
1/06/2023;Italia;Otros motivos;27222
1/06/2023;Paises Bajos;Otros motivos;24674
1/06/2023;Paises Nordicos;Otros motivos;25063
1/06/2023;Portugal;Otros motivos;15515
1/06/2023;Reino Unido;Otros motivos;125028
1/06/2023;Resto America;Otros motivos;28503
1/06/2023;Resto de Europa;Otros motivos;45425
1/06/2023;Resto del Mundo;Otros motivos;29561
1/06/2023;Rusia;Otros motivos;0
1/06/2023;Suiza;Otros motivos;11586
1/07/2023;Alemania;Negocio motivos profesionales;39424
1/07/2023;Belgica;Negocio motivos profesionales;15333
1/07/2023;Estados Unidos de America;Negocio motivos profesionales;14774
1/07/2023;Francia;Negocio motivos profesionales;52482
1/07/2023;Irlanda;Negocio motivos profesionales;10071
1/07/2023;Italia;Negocio motivos profesionales;18258
1/07/2023;Paises Bajos;Negocio motivos profesionales;20134
1/07/2023;Paises Nordicos;Negocio motivos profesionales;19636
1/07/2023;Portugal;Negocio motivos profesionales;11818
1/07/2023;Reino Unido;Negocio motivos profesionales;67125
1/07/2023;Resto America;Negocio motivos profesionales;16506
1/07/2023;Resto de Europa;Negocio motivos profesionales;28391
1/07/2023;Resto del Mundo;Negocio motivos profesionales;17370
1/07/2023;Rusia;Negocio motivos profesionales;0
1/07/2023;Suiza;Negocio motivos profesionales;8564
1/07/2023;Alemania;Ocio recreo y vacaciones;1070148
1/07/2023;Belgica;Ocio recreo y vacaciones;416222
1/07/2023;Estados Unidos de America;Ocio recreo y vacaciones;401041
1/07/2023;Francia;Ocio recreo y vacaciones;1424604
1/07/2023;Irlanda;Ocio recreo y vacaciones;273366
1/07/2023;Italia;Ocio recreo y vacaciones;495623
1/07/2023;Paises Bajos;Ocio recreo y vacaciones;546545
1/07/2023;Paises Nordicos;Ocio recreo y vacaciones;533020
1/07/2023;Portugal;Ocio recreo y vacaciones;320793
1/07/2023;Reino Unido;Ocio recreo y vacaciones;1822091
1/07/2023;Resto America;Ocio recreo y vacaciones;448064
1/07/2023;Resto de Europa;Ocio recreo y vacaciones;770660
1/07/2023;Resto del Mundo;Ocio recreo y vacaciones;471497
1/07/2023;Rusia;Ocio recreo y vacaciones;0
1/07/2023;Suiza;Ocio recreo y vacaciones;232456
1/07/2023;Alemania;Otros motivos;63900
1/07/2023;Belgica;Otros motivos;24853
1/07/2023;Estados Unidos de America;Otros motivos;23947
1/07/2023;Francia;Otros motivos;85064
1/07/2023;Irlanda;Otros motivos;16323
1/07/2023;Italia;Otros motivos;29594
1/07/2023;Paises Bajos;Otros motivos;32635
1/07/2023;Paises Nordicos;Otros motivos;31827
1/07/2023;Portugal;Otros motivos;19155
1/07/2023;Reino Unido;Otros motivos;108799
1/07/2023;Resto America;Otros motivos;26754
1/07/2023;Resto de Europa;Otros motivos;46017
1/07/2023;Resto del Mundo;Otros motivos;28154
1/07/2023;Rusia;Otros motivos;0
1/07/2023;Suiza;Otros motivos;13880
1/08/2023;Alemania;Negocio motivos profesionales;17840
1/08/2023;Belgica;Negocio motivos profesionales;5006
1/08/2023;Estados Unidos de America;Negocio motivos profesionales;4415
1/08/2023;Francia;Negocio motivos profesionales;29807
1/08/2023;Irlanda;Negocio motivos profesionales;4265
1/08/2023;Italia;Negocio motivos profesionales;11203
1/08/2023;Paises Bajos;Negocio motivos profesionales;8379
1/08/2023;Paises Nordicos;Negocio motivos profesionales;4989
1/08/2023;Portugal;Negocio motivos profesionales;6955
1/08/2023;Reino Unido;Negocio motivos profesionales;30747
1/08/2023;Resto America;Negocio motivos profesionales;6406
1/08/2023;Resto de Europa;Negocio motivos profesionales;12613
1/08/2023;Resto del Mundo;Negocio motivos profesionales;7948
1/08/2023;Rusia;Negocio motivos profesionales;0
1/08/2023;Suiza;Negocio motivos profesionales;3178
1/08/2023;Alemania;Ocio recreo y vacaciones;1089889
1/08/2023;Belgica;Ocio recreo y vacaciones;305844
1/08/2023;Estados Unidos de America;Ocio recreo y vacaciones;269751
1/08/2023;Francia;Ocio recreo y vacaciones;1820960
1/08/2023;Irlanda;Ocio recreo y vacaciones;260527
1/08/2023;Italia;Ocio recreo y vacaciones;684392
1/08/2023;Paises Bajos;Ocio recreo y vacaciones;511897
1/08/2023;Paises Nordicos;Ocio recreo y vacaciones;304805
1/08/2023;Portugal;Ocio recreo y vacaciones;424883
1/08/2023;Reino Unido;Ocio recreo y vacaciones;1878376
1/08/2023;Resto America;Ocio recreo y vacaciones;391345
1/08/2023;Resto de Europa;Ocio recreo y vacaciones;770563
1/08/2023;Resto del Mundo;Ocio recreo y vacaciones;485572
1/08/2023;Rusia;Ocio recreo y vacaciones;0
1/08/2023;Suiza;Ocio recreo y vacaciones;194152
1/08/2023;Alemania;Otros motivos;74198
1/08/2023;Belgica;Otros motivos;20821
1/08/2023;Estados Unidos de America;Otros motivos;18364
1/08/2023;Francia;Otros motivos;123967
1/08/2023;Irlanda;Otros motivos;17736
1/08/2023;Italia;Otros motivos;46592
1/08/2023;Paises Bajos;Otros motivos;34849
1/08/2023;Paises Nordicos;Otros motivos;20751
1/08/2023;Portugal;Otros motivos;28925
1/08/2023;Reino Unido;Otros motivos;127876
1/08/2023;Resto America;Otros motivos;26642
1/08/2023;Resto de Europa;Otros motivos;52458
1/08/2023;Resto del Mundo;Otros motivos;33057
1/08/2023;Rusia;Otros motivos;0
